Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
00-9397825:NSN,"TERMINAL,STUD",5940,Lugs/Terminal Strips,#,Not assigned,000J,7 CFSD SERV,MB,234232E5B,3,0.000 EA,0.000 EA,10.000 EA,10,EA,each,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/19/2013,0.73 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,4/4/2018,1686708,4/4/2018
00-9887834:NSN,"SCREW,CAP,SOCKET HEAD",5305,Screws,Q,Q,000J,7 CFSD SERV,MB,238212M6B,2,0.000 EA,0.000 EA,8.000 EA,8,EA,each,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/20/2013,0.40 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/19/2018,1627816,1/19/2018
01-0069170:NSN,"WIRE,ELECTRICAL",6145,"Wire/Cable, Electric",#,Not assigned,000J,7 CFSD SERV,MB,214169M1A,5,0.000 FT,0.000 FT,100.000 FT,100,FT,Foot,NM16,DGMEPM,50N,(A) DAP-5-3-2-5,8/20/2013,0.63 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2433348,3/26/2021
01-0182521:NSN,"MICROCIRCUIT,LINEAR",5962,"Microcircuits, Elect",Y,ELECTROSTATIC SENSITIVE ELECTRONIC ITEMS,000M,7 CFSD Disposal,MB,270221M5B,2,0.000 EA,0.000 EA,5.000 EA,5,EA,each,NM16,DGMEPM,234,(M)D MAR P 4-2-3-3,8/20/2013,8.31 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2168729,3/6/2020
01-0218051:NSN,"MICROCIRCUIT,LINEAR",5962,"Microcircuits, Elect",Y,ELECTROSTATIC SENSITIVE ELECTRONIC ITEMS,000M,7 CFSD Disposal,MB,214222H6D,2,0.000 EA,0.000 EA,7.000 EA,7,EA,each,NM16,DGMEPM,234,(M)D MAR P 4-2-3-3,8/20/2013,137.97 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2193543,4/24/2020
01-0337807:NSN,"CONNECTOR BODY,PLUG,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,000J,7 CFSD SERV,MB,210236K4C,3,0.000 EA,0.000 EA,34.000 EA,34,EA,each,NM16,DGMEPM,49F,(A) DAP   7-2-2-2,8/19/2013,3.13 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,5/2/2018,1716865,5/2/2018
01-0407156:NSN,CIRCUIT BREAKER,5925,Circuit Breakers,#,Not assigned,000J,7 CFSD SERV,MB,254166F1A,2,0.000 EA,0.000 EA,1.000 EA,1,EA,each,NM16,DGMEPM,48H,(P) D SVC C 2-3-5,8/19/2013,168.82 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,11/15/2018,111185,8/19/2013
01-0446570:NSN,"NUT,PLAIN,CLINCH",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,MB,202175H1C,2,0.000 EA,0.000 EA,264.000 EA,264,EA,each,NM16,DGMEPM,52K,(A) DAP 6-3-5B,8/19/2013,0.58 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/8/2020,1567592,10/11/2017
01-0489261:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,000J,7 CFSD SERV,MB,266244E1A,6,0.000 EA,0.000 EA,12.000 EA,12,EA,each,NM16,DGMEPM,52T,(A) DAP 6-3-5-B,8/19/2013,47.51 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,2/2/2018,1640045,2/2/2018
01-0584656:NSN,"NUT,PLAIN,HEXAGON",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,MB,250194L3A,2,0.000 EA,0.000 EA,40.000 EA,40,EA,each,LZ18,DGLEPM,44C,(L) DLP 4-1C2-2,8/31/2022,2.69 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2830399,9/1/2022
