Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
00-4968009:NSN,"CONTACT,ELECTRICAL",5999,Misc Electric Compnt,Q,Q,000J,7 CFSD SERV,MB,270209H3D,2,0.000 EA,0.000 EA,30.000 EA,30,EA,each,NM16,DGMEPM,47Q,(P) D SVC C 2-3-5,8/20/2013,6.34 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,7/5/2018,1753848,7/5/2018
00-5028480:NSN,TERMINAL BOARD,5940,Lugs/Terminal Strips,#,Not assigned,000J,7 CFSD SERV,MB,218227C1B,5,0.000 EA,0.000 EA,4.000 EA,4,EA,each,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,12/10/2013,8.44 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,499893,12/10/2013
00-5262958:NSN,"RIVET,SOLID",5320,Rivets,Q,Q,000J,7 CFSD SERV,MB,206251G2A,6,0.000 LB,0.000 LB,10.000 LB,10,LB,US pound,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/20/2013,31.00 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/26/2017,1579997,10/26/2017
00-6324063:NSN,"CONNECTOR,PLUG,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,000J,7 CFSD SERV,MB,218175C1A,5,0.000 EA,0.000 EA,5.000 EA,5,EA,each,NM16,DGMEPM,52T,(A) DAP 6-3-5-B,8/19/2013,23.37 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,178052,8/19/2013
00-6657657:NSN,"CONNECTOR,PLUG,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,000J,7 CFSD SERV,MB,214193G2C,5,0.000 EA,0.000 EA,18.000 EA,18,EA,each,NM16,DGMEPM,53G,(A) DAP 7-2-4-3,8/19/2013,3.15 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1693574,4/11/2018
00-7259498:NSN,"TERMINAL,STUD",5940,Lugs/Terminal Strips,#,Not assigned,000J,7 CFSD SERV,MB,202171J4A,2,0.000 EA,0.000 EA,"1,568.000 EA","1,568",EA,each,NM16,DGMEPM,48H,(P) D SVC C 2-3-5,8/19/2013,0.47 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/3/2020,306137,8/20/2013
00-7553494:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,000J,7 CFSD SERV,MB,218174E6A,2,0.000 EA,0.000 EA,2.000 EA,2,EA,each,NM16,DGMEPM,52V,(A) DAP 6-3-5-B,8/20/2013,18.46 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,325429,8/20/2013
00-8031056:NSN,"NUT,PLAIN,HEXAGON",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,MB,202230L6A,2,0.000 EA,0.000 EA,21.000 EA,21,EA,each,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/20/2013,0.20 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,359657,8/20/2013
00-8150653:NSN,"NUT,SELF-LOCKING,HEXAGON",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,MB,214213J5C,2,0.000 EA,0.000 EA,91.000 EA,91,EA,each,NM16,DGMEPM,49T,(L) DLP 7-4-2-1,8/20/2013,0.76 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/12/2018,1789537,5/21/2020
00-8210345:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,000J,7 CFSD SERV,MB,226237G2A,5,0.000 EA,0.000 EA,13.000 EA,13,EA,each,NM16,DGMEPM,53G,(A) DAP 7-2-4-3,8/20/2013,6.14 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,377297,8/20/2013
00-8242022:NSN,"SCREW,MACHINE",5305,Screws,Q,Q,000J,7 CFSD SERV,MB,246223E5A,3,0.000 EA,0.000 EA,351.000 EA,351,EA,each,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/20/2013,5.24 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,2/6/2018,1642400,2/1/2019
00-8255029:NSN,"TERMINAL,LUG",5940,Lugs/Terminal Strips,#,Not assigned,000J,7 CFSD SERV,MB,202237J6A,2,0.000 PG,0.000 PG,22.000 PG,22,PG,Package,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,10/18/2016,1.24 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/23/2017,1576891,10/23/2017
00-8503339:NSN,"RIVET,SOLID",5320,Rivets,#,Not assigned,000J,7 CFSD SERV,MB,258239G4E,2,0.000 LB,0.000 LB,4.000 LB,4,LB,US pound,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/19/2013,5.22 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1395813,3/8/2017
00-8526408:NSN,SHACKLE,4030,Fittings-Rope/Cable/,#,Not assigned,000J,7 CFSD SERV,MB,250194K1C,2,0.000 EA,0.000 EA,24.000 EA,24,EA,each,A57G,DGAEPM,52W,(A) DAP 4-3-5-2-4,9/2/2022,5.02 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2830438,9/6/2022
00-8628128:NSN,"SPACER,SLEEVE",5365,Rings/Shims/Spacers,#,Not assigned,000J,7 CFSD SERV,MB,202190N2D,2,0.000 EA,0.000 EA,15.000 EA,15,EA,each,NM16,DGMEPM,24C,(M)D MAR P 4-3-2-7,8/19/2013,1.55 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/27/2020,115482,8/19/2013
