Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
20-0124155:NSN,"CABLE ASSEMBLY,SPECIAL PURPOSE,ELECTRICA",5995,Cable/Cord/Wire Asse,Q,Q,000J,7 CFSD SERV,MA,262184G3,8,0.000 EA,0.000 EA,19.000 EA,19,EA,each,L50L,DGLEPM,49Y,(L) DLP 7-4-2,8/31/2022,400.00 CAD,1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2829712,8/31/2022
20-0137848:NSN,"KIT,TIE DOWN,TARP",2590,Vehicular Components,Q,Q,000J,7 CFSD SERV,ZA,PRODLINE 1,#,0.000 KT,0.000 KT,30.000 KT,0,KT,Kit,L20O,DGLEPM,66Y,(L) DLP 5-2-4-1C,8/22/2022,650.75 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2818686,8/22/2022
20-0137897:NSN,"TUBING,PLASTIC,SPIRAL WRAP",9330,Plastics Fabricated,Q,Q,000J,7 CFSD SERV,PS,288131F1,11,0.000 EA,0.000 EA,200.000 EA,200,EA,each,LZ08,DGLEPM,44E,(L) DLP 4-1C1-4,9/1/2022,0.99 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2831071,9/1/2022
20-A0K9703:NSN,CABLE ASSEMBLY POWER,5995,Cable/Cord/Wire Asse,#,Not assigned,000J,7 CFSD SERV,MB,250170F3B,1,0.000 EA,0.000 EA,1.000 EA,1,EA,each,3554,LOCAL/BASE,LOC,LOC MANAGED ITEMS,8/30/2022,4.06 CAD,4L,X,LOCALLY MANAGED/LOCALLY PROCURED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2829101,8/31/2022
20-A0Y0928:NSN,RADAR P2 KIT HARDWARE,1680,Aircraft Accessories,#,Not assigned,000J,7 CFSD SERV,PS,282098H3,9,0.000 EA,0.000 EA,9.000 EA,9,EA,each,A51B,DGAEPM,50L,(A) DAP5/OWSS/ATE,9/1/2022,13.51 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,#,2831506,9/7/2022
20-A0Y1286:NSN,TRANSPONDER SET,5895,Misc Comms Equipment,#,Not assigned,000J,7 CFSD SERV,RA,282498L2,8,0.000 EA,0.000 EA,2.000 EA,2,EA,each,A57W,DGAEPM,55G,(A) DAP 4-3-5-2-4,9/8/2022,"27,600.00 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,#,2832345,9/8/2022
21-8783921:NSN,"HANDBAG,WOMAN'S",8445,Hosiery/Handwear Wom,#,Not assigned,000J,7 CFSD SERV,MB,246197Q1A,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,L309,DGLEPM,32E,(L) DLP 3-2-3-1,8/19/2013,74.86 CAD,4J,X,CENT MGT - DEMAND TILL STOCKS EXHAUSTED,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1932151,4/8/2019
37-5181767:NSN,"ELBOW,PIPE",4730,Hose/Pipe Fittings,Q,Q,000J,7 CFSD SERV,MB,250192L3C,2,0.000 EA,0.000 EA,0.000 EA,1,EA,each,L20O,DGLEPM,66Y,(L) DLP 5-2-4-1C,9/2/2022,8.93 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2831098,9/2/2022
64-0010268:NSN,"SCREW,CAP,SOCKET HEAD",5305,Screws,#,Not assigned,000J,7 CFSD SERV,MB,266181J1B,6,0.000 EA,0.000 EA,30.000 EA,30,EA,each,L20O,DGLEPM,66Y,(L) DLP 5-2-4-1C,8/31/2022,1.31 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2830396,9/1/2022
99-2528078:NSN,FREEZE NEUTRALISING KIT,1385,SurfaceExplosive Dis,#,Not assigned,000L,7 CFSD Rep Res,RA,320500L,18,0.000 EA,0.000 EA,6.000 EA,3,EA,each,L341,DGLEPM,67K,(L) (DLP) 6-4-3-2,8/25/2022,"8,000.00 CAD",1E,X,ITEM SUBJECT TO SPECIAL PROCUREMENT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,2828634,8/30/2022
99-2528078:NSN,FREEZE NEUTRALISING KIT,1385,SurfaceExplosive Dis,#,Not assigned,000L,7 CFSD Rep Res,RA,320502L,18,0.000 EA,0.000 EA,6.000 EA,3,EA,each,L341,DGLEPM,67K,(L) (DLP) 6-4-3-2,8/25/2022,"8,000.00 CAD",1E,X,ITEM SUBJECT TO SPECIAL PROCUREMENT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,2828633,8/30/2022
99-5275702:NSN,"ATTENUATOR,VARIABLE",5985,Antennas/Waveguide,Q,Q,000M,7 CFSD Disposal,DA,338526TSS,#,0.000 EA,0.000 EA,2.000 EA,2,EA,each,N282,DGMEPM,234,(M)D MAR P 4-2-3-3,9/2/2022,"6,006.00 CAD",1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,B,3RD LINE ONLY,G,#,2832372,9/8/2022
