Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36
00-0030616:NSN,O-RING,5331,O-Rings,#,Not assigned,000J,7 CFSD SERV,MB,202191F1A,3,0.000 EA,0.000 EA,6.000 EA,6,EA,each,L66P,DGLEPM,66G,(L) DLP 5-2-5-1,8/19/2013,7.27 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/30/2017,1581332,10/30/2017
00-0030730:NSN,"WIRE,ELECTRICAL",6145,"Wire/Cable, Electric",Q,Q,000J,7 CFSD SERV,MB,218171K2B,5,0.000 MR,0.000 MR,94.000 MR,94,MR,Meter,AP22,DGAEPM,50L,(A) DAP5/OWSS/ATE,8/19/2013,0.28 CAD,4E,X,CENTRALLY MANAGED NO FURTHER PROCUREMENT,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2431725,3/24/2021
00-0030733:NSN,"WIRE,ELECTRICAL",6145,"Wire/Cable, Electric",Q,Q,000J,7 CFSD SERV,MB,270179H2A,3,0.000 FT,0.000 FT,87.000 FT,87,FT,Foot,AP22,DGAEPM,49B,(A) DAP   7-2-2-2,8/19/2013,0.07 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,51069,8/19/2013
00-0030887:NSN,"SEAL,LIP,PLATE ASSY",5330,Packing/Gasket Mater,#,Not assigned,000J,7 CFSD SERV,MB,202245M2D,2,0.000 EA,0.000 EA,6.000 EA,6,EA,each,L634,DGLEPM,65T,(L) DLP 4-2-3-2,8/19/2013,17.22 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/23/2018,1631771,1/23/2018
00-0031179:NSN,"SHIELDING BEAD,ELECTRONIC",5950,Coils/Transformers,#,Not assigned,000J,7 CFSD SERV,MB,202227K5E,2,0.000 EA,0.000 EA,1.000 EA,1,EA,each,AP22,DGAEPM,50L,(A) DAP5/OWSS/ATE,8/19/2013,10.00 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,3/16/2018,1672233,3/16/2018
00-0031691:NSN,"SCREW,MACHINE",5305,Screws,#,Not assigned,000J,7 CFSD SERV,MB,234254Q3A,6,0.000 EA,0.000 EA,"5,452.000 EA","5,452",EA,each,A50L,DGAEPM,53G,(A) DAP 7-2-4-3,8/19/2013,0.02 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1388000,2/24/2017
00-0031953:NSN,"ARM,CARGO EXTRACTIO",1670,Parachutes; Delv/Rec,Q,Q,000J,7 CFSD SERV,MB,230232L1A,6,0.000 EA,0.000 EA,20.000 EA,20,EA,each,A54K,DGAEPM,54J,(A) DAP 2-2-4-4,8/19/2013,4.46 CAD,4J,X,CENT MGT - DEMAND TILL STOCKS EXHAUSTED,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,6/11/2015,51129,8/19/2013
00-0032143:NSN,"PARTS KIT,HYDRAULIC PUMP",4320,Power/Hand Pumps,#,Not assigned,000J,7 CFSD SERV,MB,254191J3B,3,0.000 EA,0.000 EA,5.000 EA,5,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,8/19/2013,22.91 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,11/28/2018,51219,8/19/2013
00-0032537:NSN,"RESISTOR,VARIABLE,NONWIRE WOUND,NONPRECI",5905,Resistors,Q,Q,000J,7 CFSD SERV,MB,222232E2D,2,0.000 EA,0.000 EA,11.000 EA,11,EA,each,N904,DGMEPM,49R,(P) D SVCS C 23333,8/19/2013,0.82 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,51261,8/19/2013
00-0032547:NSN,"RESISTOR,VARIABLE,NONWIRE WOUND,NONPRECI",5905,Resistors,#,Not assigned,000J,7 CFSD SERV,MB,246232J5A,2,0.000 EA,0.000 EA,7.000 EA,7,EA,each,C470,COMMMON,49R,(P) D SVCS C 23333,8/19/2013,19.67 CAD,1B,D,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/24/2018,1633550,1/24/2018
